method,display_name,fold,test_fish,seed,pair_index,pair_id,queries,top1,top5,mrr,hungarian,coverage
fdnc,fDNC,7,lineage_20170111,42,1,lineage_20170111__gap60m__p001,178,0.8651685393258427,1.0,0.9279026217228465,0.9662921348314607,1.0
fdnc,fDNC,7,lineage_20170111,42,2,lineage_20170111__gap60m__p002,178,0.8595505617977528,1.0,0.9260299625468166,0.9887640449438202,1.0
fdnc,fDNC,7,lineage_20170111,42,3,lineage_20170111__gap60m__p003,178,0.898876404494382,1.0,0.9456928838951313,0.9662921348314607,1.0
fdnc,fDNC,7,lineage_20170111,42,4,lineage_20170111__gap60m__p004,178,0.9101123595505618,1.0,0.953183520599251,0.9775280898876404,1.0
fdnc,fDNC,7,lineage_20170111,42,5,lineage_20170111__gap60m__p005,178,0.8595505617977528,1.0,0.9250936329588016,0.9775280898876404,1.0
fdnc,fDNC,7,lineage_20170111,42,6,lineage_20170111__gap60m__p006,178,0.8595505617977528,1.0,0.9288389513108615,0.9775280898876404,1.0
fdnc,fDNC,7,lineage_20170111,42,7,lineage_20170111__gap60m__p007,178,0.8932584269662921,1.0,0.9456928838951312,1.0,1.0
fdnc,fDNC,7,lineage_20170111,42,8,lineage_20170111__gap60m__p008,178,0.9044943820224719,1.0,0.9470973782771536,1.0,1.0
fdnc,fDNC,7,lineage_20170111,42,9,lineage_20170111__gap60m__p009,178,0.9213483146067416,1.0,0.9573033707865167,1.0,1.0
fdnc,fDNC,7,lineage_20170111,42,10,lineage_20170111__gap60m__p010,178,0.9325842696629213,1.0,0.9644194756554308,1.0,1.0
fdnc,fDNC,7,lineage_20170111,42,11,lineage_20170111__gap60m__p011,178,0.9325842696629213,1.0,0.9644194756554306,1.0,1.0
fdnc,fDNC,7,lineage_20170111,42,12,lineage_20170111__gap60m__p012,178,0.9269662921348315,1.0,0.9602059925093634,1.0,1.0
fdnc,fDNC,7,lineage_20170111,42,13,lineage_20170111__gap60m__p013,178,0.9157303370786517,1.0,0.9569288389513109,0.9775280898876404,1.0
fdnc,fDNC,8,lineage_20170925,42,0,lineage_20170925__gap60m__p000,156,0.8205128205128205,1.0,0.9027777777777777,0.9743589743589743,1.0
fdnc,fDNC,8,lineage_20170925,42,1,lineage_20170925__gap60m__p001,156,0.8717948717948718,1.0,0.9326923076923077,1.0,1.0
fdnc,fDNC,8,lineage_20170925,42,2,lineage_20170925__gap60m__p002,156,0.7756410256410257,1.0,0.8824786324786325,1.0,1.0
